hhid,lga_standard,lga_for_seifa,homesubregion_ASGS,homeregion_ASGS,hhinc_group,totalvehs,totalbikes_clean,hhsize,dayType,travmonth,travdow,LGA_Name,IRSD_Score,IRSD_Decile,IRSAD_Score,IRSAD_Decile,IEO_Score,IEO_Decile,Population,hhinc_sort
Y25H6260101,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",1,0.0,1,Weekday,July,Monday,Greater Dandenong,887,2,918,3,943,6,158208,1500
Y25H6260102,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",2,0.0,4,Weekday,July,Tuesday,Greater Dandenong,887,2,918,3,943,6,158208,2000
Y25H6260103,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$8,000 or more ($416,000 or more)",2,2.0,4,Weekday,July,Wednesday,Greater Dandenong,887,2,918,3,943,6,158208,0
Y25H6260106,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,1.0,2,Weekend,July,Saturday,Greater Dandenong,887,2,918,3,943,6,158208,2000
Y25H6260117,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$4,500-$4,999 ($234,000-$259,999)",2,4.0,5,Weekday,July,Wednesday,Greater Dandenong,887,2,918,3,943,6,158208,4500
Y25H6260122,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",1,,2,Weekday,July,Monday,Greater Dandenong,887,2,918,3,943,6,158208,1750
Y25H6260123,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,,2,Weekday,July,Tuesday,Greater Dandenong,887,2,918,3,943,6,158208,2000
Y25H6260132,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,Not Stated,0,0.0,1,Weekday,July,Thursday,Greater Dandenong,887,2,918,3,943,6,158208,-1
Y25H6260133,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$800-$999 ($41,600-$51,999)",2,0.0,4,Weekday,July,Friday,Greater Dandenong,887,2,918,3,943,6,158208,800
Y25H6260134,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$800-$999 ($41,600-$51,999)",0,0.0,1,Weekend,July,Saturday,Greater Dandenong,887,2,918,3,943,6,158208,800
Y25H6260137,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,0.0,2,Weekday,July,Tuesday,Greater Dandenong,887,2,918,3,943,6,158208,2500
Y25H6260139,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,,2,Weekday,July,Thursday,Greater Dandenong,887,2,918,3,943,6,158208,2500
Y25H6260201,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",3,0.0,2,Weekday,July,Monday,Yarra Ranges,1041,9,1014,9,1001,8,156068,4000
Y25H6260204,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$1,000-$1,249 ($52,000-$64,999)",3,0.0,2,Weekday,July,Thursday,Yarra Ranges,1041,9,1014,9,1001,8,156068,1000
Y25H6260205,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$800-$999 ($41,600-$51,999)",1,1.0,2,Weekday,July,Friday,Yarra Ranges,1041,9,1014,9,1001,8,156068,800
Y25H6260209,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",2,1.0,2,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3500
Y25H6260210,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$300-$399 ($15,600-$20,799)",1,0.0,2,Weekday,July,Wednesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,300
Y25H6260211,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$400-$499 ($20,800-$25,999)",1,0.0,1,Weekday,July,Thursday,Yarra Ranges,1041,9,1014,9,1001,8,156068,400
Y25H6260215,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,3.0,4,Weekday,July,Monday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3000
Y25H6260216,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$800-$999 ($41,600-$51,999)",2,,2,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,800
Y25H6260217,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",2,0.0,2,Weekday,July,Wednesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,650
Y25H6260219,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,6.0,6,Weekday,July,Friday,Yarra Ranges,1041,9,1014,9,1001,8,156068,2500
Y25H6260220,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,2.0,2,Weekend,July,Saturday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3000
Y25H6260221,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,0.0,2,Weekend,July,Sunday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3000
Y25H6260223,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",5,1.0,4,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3500
Y25H6260224,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$5,000-$5,999 ($260,000-$311,999)",2,5.0,5,Weekday,July,Wednesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,5000
Y25H6260225,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$1,250-$1,499 ($65,000-$77,999)",2,0.0,1,Weekday,July,Thursday,Yarra Ranges,1041,9,1014,9,1001,8,156068,1250
Y25H6260233,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$1,000-$1,249 ($52,000-$64,999)",2,2.0,2,Weekday,July,Friday,Yarra Ranges,1041,9,1014,9,1001,8,156068,1000
Y25H6260236,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$1,000-$1,249 ($52,000-$64,999)",1,0.0,4,Weekday,July,Monday,Yarra Ranges,1041,9,1014,9,1001,8,156068,1000
Y25H6260237,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",1,0.0,2,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,1500
Y25H6260238,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",2,5.0,4,Weekday,July,Wednesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3500
Y25H6260239,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",2,,3,Weekday,July,Thursday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3500
Y25H6260242,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",3,,2,Weekend,July,Sunday,Yarra Ranges,1041,9,1014,9,1001,8,156068,4000
Y25H6260401,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",2,0.0,3,Weekday,July,Monday,Whittlesea,990,6,981,7,980,8,229396,1500
Y25H6260403,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",3,5.0,6,Weekday,July,Wednesday,Whittlesea,990,6,981,7,980,8,229396,3500
Y25H6260404,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$4,500-$4,999 ($234,000-$259,999)",3,3.0,5,Weekday,July,Thursday,Whittlesea,990,6,981,7,980,8,229396,4500
Y25H6260410,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",1,3.0,4,Weekday,July,Wednesday,Whittlesea,990,6,981,7,980,8,229396,6000
Y25H6260412,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",2,0.0,2,Weekday,July,Friday,Whittlesea,990,6,981,7,980,8,229396,3500
Y25H6260417,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",2,2.0,2,Weekday,July,Wednesday,Whittlesea,990,6,981,7,980,8,229396,1750
Y25H6260419,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",4,1.0,5,Weekday,July,Friday,Whittlesea,990,6,981,7,980,8,229396,3500
Y25H6260424,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$500-$649 ($26,000-$33,799)",1,0.0,1,Weekday,July,Wednesday,Whittlesea,990,6,981,7,980,8,229396,500
Y25H6260425,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",2,2.0,4,Weekday,July,Thursday,Whittlesea,990,6,981,7,980,8,229396,1750
Y25H6260426,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",1,0.0,1,Weekday,July,Friday,Whittlesea,990,6,981,7,980,8,229396,1500
Y25H6260428,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,0.0,1,Weekend,July,Sunday,Whittlesea,990,6,981,7,980,8,229396,2500
Y25H6260429,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$800-$999 ($41,600-$51,999)",2,0.0,2,Weekday,July,Monday,Whittlesea,990,6,981,7,980,8,229396,800
Y25H6260430,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",3,4.0,4,Weekday,July,Tuesday,Whittlesea,990,6,981,7,980,8,229396,3000
Y25H6260431,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,2.0,4,Weekday,July,Wednesday,Whittlesea,990,6,981,7,980,8,229396,2500
Y25H6260432,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$500-$649 ($26,000-$33,799)",1,0.0,1,Weekday,July,Thursday,Whittlesea,990,6,981,7,980,8,229396,500
Y25H6260433,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",4,0.0,4,Weekday,July,Friday,Whittlesea,990,6,981,7,980,8,229396,6000
Y25H6260434,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$500-$649 ($26,000-$33,799)",1,2.0,3,Weekend,July,Saturday,Whittlesea,990,6,981,7,980,8,229396,500
Y25H6260435,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,0.0,2,Weekend,July,Sunday,Whittlesea,990,6,981,7,980,8,229396,3000
Y25H6260437,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$800-$999 ($41,600-$51,999)",2,0.0,2,Weekday,July,Tuesday,Whittlesea,990,6,981,7,980,8,229396,800
Y25H6260439,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",2,1.0,1,Weekday,July,Thursday,Whittlesea,990,6,981,7,980,8,229396,650
Y25H6260442,Whittlesea,Whittlesea,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",1,0.0,1,Weekend,July,Sunday,Whittlesea,990,6,981,7,980,8,229396,3000
Y25H6270102,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",1,,4,Weekday,July,Tuesday,Frankston,1003,7,982,8,981,8,139281,4000
Y25H6270104,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",1,3.0,1,Weekday,August,Thursday,Frankston,1003,7,982,8,981,8,139281,650
Y25H6270107,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$1,000-$1,249 ($52,000-$64,999)",1,0.0,2,Weekend,August,Sunday,Frankston,1003,7,982,8,981,8,139281,1000
Y25H6270108,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$400-$499 ($20,800-$25,999)",1,0.0,1,Weekday,July,Monday,Frankston,1003,7,982,8,981,8,139281,400
Y25H6270115,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$5,000-$5,999 ($260,000-$311,999)",2,0.0,4,Weekday,July,Monday,Frankston,1003,7,982,8,981,8,139281,5000
Y25H6270116,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",2,0.0,3,Weekday,July,Tuesday,Frankston,1003,7,982,8,981,8,139281,4000
Y25H6270117,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",3,1.0,3,Weekday,July,Wednesday,Frankston,1003,7,982,8,981,8,139281,3500
Y25H6270121,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,3.0,2,Weekend,August,Sunday,Frankston,1003,7,982,8,981,8,139281,2000
Y25H6270124,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",0,0.0,1,Weekday,July,Wednesday,Frankston,1003,7,982,8,981,8,139281,3000
Y25H6270128,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",3,0.0,3,Weekend,August,Sunday,Frankston,1003,7,982,8,981,8,139281,3000
Y25H6270130,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,0.0,2,Weekday,July,Tuesday,Frankston,1003,7,982,8,981,8,139281,2000
Y25H6270131,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$5,000-$5,999 ($260,000-$311,999)",1,1.0,3,Weekday,July,Wednesday,Frankston,1003,7,982,8,981,8,139281,5000
Y25H6270138,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$400-$499 ($20,800-$25,999)",1,0.0,1,Weekday,July,Wednesday,Frankston,1003,7,982,8,981,8,139281,400
Y25H6270139,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",1,0.0,1,Weekday,August,Thursday,Frankston,1003,7,982,8,981,8,139281,650
Y25H6270141,Frankston,Frankston,MELB - Outer,Greater Melbourne,"$1,250-$1,499 ($65,000-$77,999)",2,1.0,2,Weekend,August,Saturday,Frankston,1003,7,982,8,981,8,139281,1250
Y25H6270302,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$800-$999 ($41,600-$51,999)",0,0.0,1,Weekday,July,Tuesday,Port Phillip,1061,10,1106,10,1144,10,101942,800
Y25H6270303,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,Not Stated,0,0.0,2,Weekday,July,Wednesday,Port Phillip,1061,10,1106,10,1144,10,101942,-1
Y25H6270305,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",1,,1,Weekday,August,Friday,Port Phillip,1061,10,1106,10,1144,10,101942,3500
Y25H6270310,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$300-$399 ($15,600-$20,799)",0,0.0,1,Weekday,July,Wednesday,Port Phillip,1061,10,1106,10,1144,10,101942,300
Y25H6270312,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",0,1.0,1,Weekday,August,Friday,Port Phillip,1061,10,1106,10,1144,10,101942,1500
Y25H6270316,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",0,0.0,2,Weekday,July,Tuesday,Port Phillip,1061,10,1106,10,1144,10,101942,2500
Y25H6270319,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$1,250-$1,499 ($65,000-$77,999)",0,0.0,1,Weekday,August,Friday,Port Phillip,1061,10,1106,10,1144,10,101942,1250
Y25H6270320,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",0,1.0,1,Weekend,August,Saturday,Port Phillip,1061,10,1106,10,1144,10,101942,2500
Y25H6270321,Port Phillip,Port Phillip,MELB - Inner,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,1.0,1,Weekend,August,Sunday,Port Phillip,1061,10,1106,10,1144,10,101942,2500
Y25H6270324,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$500-$649 ($26,000-$33,799)",1,0.0,1,Weekday,July,Wednesday,Melbourne,1017,8,1086,10,1150,10,149615,500
Y25H6270325,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",1,4.0,4,Weekday,August,Thursday,Melbourne,1017,8,1086,10,1150,10,149615,3500
Y25H6270329,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,0.0,1,Weekday,July,Monday,Melbourne,1017,8,1086,10,1150,10,149615,2500
Y25H6270330,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$650-$799 ($33,800-$41,599)",0,0.0,2,Weekday,July,Tuesday,Melbourne,1017,8,1086,10,1150,10,149615,650
Y25H6270332,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$800-$999 ($41,600-$51,999)",1,0.0,1,Weekday,August,Thursday,Melbourne,1017,8,1086,10,1150,10,149615,800
Y25H6270333,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$500-$649 ($26,000-$33,799)",0,0.0,1,Weekday,August,Friday,Melbourne,1017,8,1086,10,1150,10,149615,500
Y25H6270338,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",0,0.0,2,Weekday,July,Wednesday,Melbourne,1017,8,1086,10,1150,10,149615,6000
Y25H6270339,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$800-$999 ($41,600-$51,999)",0,0.0,1,Weekday,August,Thursday,Melbourne,1017,8,1086,10,1150,10,149615,800
Y25H6270340,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",1,0.0,2,Weekday,August,Friday,Melbourne,1017,8,1086,10,1150,10,149615,1750
Y25H6270342,Melbourne,Melbourne,MELB - Inner,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",1,0.0,2,Weekend,August,Sunday,Melbourne,1017,8,1086,10,1150,10,149615,4000
Y25H6270416,Hume,Hume,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",1,,2,Weekday,July,Tuesday,Hume,941,3,949,5,958,7,243901,650
Y25H6270421,Hume,Hume,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",1,0.0,1,Weekend,August,Sunday,Hume,941,3,949,5,958,7,243901,650
Y25H6270422,Hume,Hume,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,0.0,2,Weekday,July,Monday,Hume,941,3,949,5,958,7,243901,3000
Y25H6270423,Hume,Hume,MELB - Outer,Greater Melbourne,Not Stated,2,0.0,2,Weekday,July,Tuesday,Hume,941,3,949,5,958,7,243901,-1
Y25H6270428,Hume,Hume,MELB - Outer,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",2,0.0,2,Weekend,August,Sunday,Hume,941,3,949,5,958,7,243901,2000
Y25H6270429,Hume,Hume,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,,5,Weekday,July,Monday,Hume,941,3,949,5,958,7,243901,2500
Y25H6270434,Hume,Hume,MELB - Outer,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",4,3.0,3,Weekend,August,Saturday,Hume,941,3,949,5,958,7,243901,6000
Y25H6270437,Hume,Hume,MELB - Outer,Greater Melbourne,Not Stated,1,0.0,2,Weekday,July,Tuesday,Hume,941,3,949,5,958,7,243901,-1
Y25H6270440,Hume,Hume,MELB - Outer,Greater Melbourne,"$4,500-$4,999 ($234,000-$259,999)",4,0.0,3,Weekday,August,Friday,Hume,941,3,949,5,958,7,243901,4500
Y25H6280203,Casey,Casey,MELB - Outer,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",3,9.0,5,Weekday,August,Wednesday,Casey,995,7,986,8,978,8,365239,6000
Y25H6280205,Casey,Casey,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",3,6.0,3,Weekday,August,Friday,Casey,995,7,986,8,978,8,365239,3000
Y25H6280206,Casey,Casey,MELB - Outer,Greater Melbourne,Not Stated,1,0.0,1,Weekend,August,Saturday,Casey,995,7,986,8,978,8,365239,-1
Y25H6280207,Casey,Casey,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",4,,4,Weekend,August,Sunday,Casey,995,7,986,8,978,8,365239,4000
Y25H6280209,Casey,Casey,MELB - Outer,Greater Melbourne,"$4,500-$4,999 ($234,000-$259,999)",2,5.0,5,Weekday,August,Tuesday,Casey,995,7,986,8,978,8,365239,4500
Y25H6280212,Casey,Casey,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",3,0.0,4,Weekday,August,Friday,Casey,995,7,986,8,978,8,365239,3500
Y25H6280218,Casey,Casey,MELB - Outer,Greater Melbourne,Not Stated,1,0.0,1,Weekday,August,Thursday,Casey,995,7,986,8,978,8,365239,-1
Y25H6280222,Casey,Casey,MELB - Outer,Greater Melbourne,Not Stated,1,0.0,1,Weekday,August,Monday,Casey,995,7,986,8,978,8,365239,-1
Y25H6280223,Casey,Casey,MELB - Outer,Greater Melbourne,"$8,000 or more ($416,000 or more)",2,3.0,10,Weekday,August,Tuesday,Casey,995,7,986,8,978,8,365239,0
Y25H6280229,Casey,Casey,MELB - Outer,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,0.0,3,Weekday,August,Monday,Casey,995,7,986,8,978,8,365239,2000
Y25H6280231,Casey,Casey,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",2,4.0,5,Weekday,August,Wednesday,Casey,995,7,986,8,978,8,365239,4000
Y25H6280234,Casey,Casey,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,3.0,4,Weekend,August,Saturday,Casey,995,7,986,8,978,8,365239,2500
Y25H6280236,Casey,Casey,MELB - Outer,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",1,0.0,6,Weekday,August,Monday,Casey,995,7,986,8,978,8,365239,6000
Y25H6280240,Casey,Casey,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,1.0,1,Weekday,August,Friday,Casey,995,7,986,8,978,8,365239,2500
Y25H6280301,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$1,250-$1,499 ($65,000-$77,999)",1,,2,Weekday,August,Monday,Manningham,1056,10,1075,10,1080,10,124700,1250
Y25H6280314,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$5,000-$5,999 ($260,000-$311,999)",5,4.0,4,Weekend,August,Sunday,Manningham,1056,10,1075,10,1080,10,124700,5000
Y25H6280315,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$1,000-$1,249 ($52,000-$64,999)",3,0.0,2,Weekday,August,Monday,Manningham,1056,10,1075,10,1080,10,124700,1000
Y25H6280317,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,2.0,3,Weekday,August,Wednesday,Manningham,1056,10,1075,10,1080,10,124700,3000
Y25H6280318,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$800-$999 ($41,600-$51,999)",1,0.0,1,Weekday,August,Thursday,Manningham,1056,10,1075,10,1080,10,124700,800
Y25H6280319,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",2,4.0,5,Weekday,August,Friday,Manningham,1056,10,1075,10,1080,10,124700,4000
Y25H6280321,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,5.0,5,Weekend,August,Sunday,Manningham,1056,10,1075,10,1080,10,124700,2500
Y25H6280322,Manningham,Manningham,MELB - Middle,Greater Melbourne,Not Stated,0,0.0,1,Weekday,August,Monday,Manningham,1056,10,1075,10,1080,10,124700,-1
Y25H6280325,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",2,1.0,3,Weekday,August,Thursday,Manningham,1056,10,1075,10,1080,10,124700,1750
Y25H6280326,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",2,5.0,3,Weekday,August,Friday,Manningham,1056,10,1075,10,1080,10,124700,3500
Y25H6280328,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",2,0.0,1,Weekend,August,Sunday,Manningham,1056,10,1075,10,1080,10,124700,1500
Y25H6280329,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",1,0.0,2,Weekday,August,Monday,Manningham,1056,10,1075,10,1080,10,124700,1500
Y25H6280331,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",2,0.0,2,Weekday,August,Wednesday,Manningham,1056,10,1075,10,1080,10,124700,2000
Y25H6280335,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,5.0,4,Weekend,August,Sunday,Manningham,1056,10,1075,10,1080,10,124700,3000
Y25H6280338,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,0.0,2,Weekday,August,Wednesday,Manningham,1056,10,1075,10,1080,10,124700,2500
Y25H6280339,Manningham,Manningham,MELB - Middle,Greater Melbourne,"$6,000-$7,999 ($312,000-$415,999)",3,4.0,5,Weekday,August,Thursday,Manningham,1056,10,1075,10,1080,10,124700,6000
Y25H6280404,Banyule,Banyule,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",2,0.0,2,Weekday,August,Thursday,Banyule,1058,10,1064,10,1079,10,126236,2000
Y25H6280405,Banyule,Banyule,MELB - Middle,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",2,1.0,2,Weekday,August,Friday,Banyule,1058,10,1064,10,1079,10,126236,1750
Y25H6280406,Banyule,Banyule,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,6.0,5,Weekend,August,Saturday,Banyule,1058,10,1064,10,1079,10,126236,2500
Y25H6280407,Banyule,Banyule,MELB - Middle,Greater Melbourne,Not Stated,0,0.0,1,Weekend,August,Sunday,Banyule,1058,10,1064,10,1079,10,126236,-1
Y25H6280408,Banyule,Banyule,MELB - Middle,Greater Melbourne,"$300-$399 ($15,600-$20,799)",1,0.0,2,Weekday,August,Monday,Banyule,1058,10,1064,10,1079,10,126236,300
Y25H6280409,Banyule,Banyule,MELB - Middle,Greater Melbourne,"$300-$399 ($15,600-$20,799)",2,,2,Weekday,August,Tuesday,Banyule,1058,10,1064,10,1079,10,126236,300
